epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,668.472,1.82471,1.62899,1.56348,0.75033,0.5,0.68079,0.35966,1.6955,1.30519,1.55236,0.00158968,0.00158968,0.00158968
43,683.987,1.82931,1.63485,1.50533,0.64664,0.57143,0.68234,0.34767,1.8081,1.30772,1.62313,0.00157101,0.00157101,0.00157101
44,699.109,1.84359,1.62796,1.595,0.57585,0.5821,0.6365,0.32755,1.65241,1.33483,1.54842,0.00155203,0.00155203,0.00155203
45,714.825,1.95504,1.64976,1.58329,0.35501,0.64286,0.50377,0.27792,1.76544,1.44731,1.58205,0.00153277,0.00153277,0.00153277
46,731.077,1.84846,1.55828,1.46132,0.42453,0.60714,0.54281,0.2798,1.70688,1.329,1.5553,0.00151323,0.00151323,0.00151323
47,747.133,1.86072,1.62089,1.55639,0.65124,0.60714,0.63469,0.25525,1.95497,1.48164,1.73251,0.00149342,0.00149342,0.00149342
48,762.858,1.92075,1.60753,1.54407,0.64846,0.60714,0.6661,0.30649,1.72014,1.35312,1.57023,0.00147334,0.00147334,0.00147334
49,778.493,1.79094,1.64874,1.49088,0.45966,0.7597,0.60272,0.32165,1.66404,1.35485,1.50769,0.00145302,0.00145302,0.00145302
50,794.191,1.90732,1.70552,1.51649,0.44171,0.70655,0.53626,0.26152,1.75292,1.42406,1.5686,0.00143246,0.00143246,0.00143246
51,809.953,1.762,1.53498,1.45216,0.4465,0.74909,0.56359,0.31352,1.65094,1.32165,1.54045,0.00141168,0.00141168,0.00141168
52,825.498,1.80377,1.57073,1.50399,0.63995,0.71429,0.66429,0.34267,1.62135,1.27788,1.54503,0.00139067,0.00139067,0.00139067
53,841.08,1.75847,1.57263,1.44618,0.56043,0.57143,0.59161,0.28838,1.70524,1.4272,1.55938,0.00136947,0.00136947,0.00136947
54,856.497,1.7977,1.63932,1.54982,0.56242,0.5,0.58684,0.2728,1.68225,1.41998,1.54175,0.00134806,0.00134806,0.00134806
55,872.87,1.75944,1.57377,1.42693,0.64904,0.64286,0.70261,0.34861,1.74484,1.28834,1.60171,0.00132648,0.00132648,0.00132648
56,888.638,1.81721,1.48725,1.50112,0.78765,0.71429,0.75486,0.38566,1.70692,1.27257,1.55457,0.00130472,0.00130472,0.00130472
57,905.525,1.84527,1.56856,1.47787,0.61044,0.57143,0.61149,0.30604,1.6853,1.334,1.54854,0.0012828,0.0012828,0.0012828
58,921.067,1.75974,1.48878,1.46725,0.72631,0.56877,0.70305,0.35639,1.70031,1.27144,1.55022,0.00126074,0.00126074,0.00126074
59,937.167,1.7315,1.45901,1.44975,0.75243,0.53571,0.62527,0.30018,1.72819,1.32418,1.53513,0.00123854,0.00123854,0.00123854
60,952.947,1.7521,1.52083,1.45647,0.62264,0.64837,0.68738,0.32761,1.68636,1.27275,1.55607,0.00121621,0.00121621,0.00121621
61,969.268,1.75227,1.46096,1.51111,0.86196,0.66937,0.75171,0.35427,1.77261,1.31983,1.62662,0.00119377,0.00119377,0.00119377
62,984.703,1.76974,1.49391,1.42979,0.63525,0.53571,0.65881,0.33537,1.63406,1.31085,1.52972,0.00117122,0.00117122,0.00117122
63,1000.39,1.73218,1.52216,1.46797,0.40214,0.57665,0.58787,0.28366,1.70636,1.34705,1.52487,0.00114859,0.00114859,0.00114859
64,1016.05,1.73099,1.52629,1.43951,0.84798,0.53571,0.72795,0.32631,1.61435,1.27261,1.49299,0.00112588,0.00112588,0.00112588
65,1031.84,1.61844,1.49104,1.43874,0.74942,0.64286,0.72117,0.34728,1.60624,1.31774,1.51206,0.0011031,0.0011031,0.0011031
66,1047.68,1.67013,1.42301,1.41391,0.6765,0.57143,0.70787,0.37376,1.68703,1.26783,1.53525,0.00108027,0.00108027,0.00108027
67,1064.67,1.79122,1.45243,1.50009,0.7077,0.57143,0.67133,0.36073,1.64195,1.24754,1.48579,0.00105739,0.00105739,0.00105739
68,1080.6,1.72074,1.50122,1.47621,0.59284,0.57143,0.60038,0.30873,1.5808,1.3189,1.47484,0.00103449,0.00103449,0.00103449
69,1096.47,1.78342,1.50435,1.46292,0.54015,0.53571,0.55046,0.26559,1.67282,1.37493,1.52535,0.00101156,0.00101156,0.00101156
70,1111.95,1.58908,1.38579,1.37152,0.62051,0.60714,0.64881,0.34711,1.64143,1.19025,1.52508,0.000988636,0.000988636,0.000988636
71,1127.59,1.69039,1.41975,1.42781,0.7868,0.65938,0.72394,0.39227,1.5995,1.18159,1.51916,0.000965713,0.000965713,0.000965713
72,1144.23,1.71946,1.45273,1.45967,0.64115,0.71429,0.72927,0.33811,1.63407,1.28509,1.48509,0.000942809,0.000942809,0.000942809
73,1159.96,1.66708,1.39129,1.3555,0.73623,0.69814,0.76569,0.37238,1.63556,1.1846,1.48406,0.000919934,0.000919934,0.000919934
74,1176.17,1.74964,1.49068,1.43964,0.73649,0.59919,0.71326,0.37096,1.61758,1.18264,1.48701,0.000897102,0.000897102,0.000897102
75,1192.61,1.71964,1.42451,1.39475,0.56039,0.63753,0.65281,0.31799,1.59661,1.30633,1.48489,0.000874324,0.000874324,0.000874324
76,1209.1,1.66326,1.35778,1.36147,0.53868,0.58412,0.64749,0.32585,1.61309,1.33345,1.45952,0.000851612,0.000851612,0.000851612
77,1225.45,1.66175,1.37009,1.42601,0.77418,0.67857,0.82642,0.42567,1.55982,1.15095,1.46425,0.000828979,0.000828979,0.000828979
78,1244.02,1.60487,1.42482,1.42482,0.64124,0.75,0.78643,0.41423,1.57163,1.13285,1.47113,0.000806435,0.000806435,0.000806435
79,1260.47,1.54959,1.33877,1.38955,0.73666,0.69968,0.7623,0.35683,1.68296,1.25275,1.51034,0.000783993,0.000783993,0.000783993
80,1277.31,1.56954,1.26775,1.36387,0.7075,0.67857,0.78473,0.3821,1.68456,1.15362,1.5833,0.000761665,0.000761665,0.000761665
81,1293.76,1.53344,1.31664,1.30501,0.67795,0.67857,0.74757,0.37314,1.72553,1.15918,1.63481,0.000739462,0.000739462,0.000739462
82,1310.43,1.54976,1.37581,1.36677,0.69128,0.7199,0.73245,0.36667,1.61746,1.20129,1.5473,0.000717396,0.000717396,0.000717396
83,1327.78,1.50484,1.28713,1.31684,0.67103,0.67857,0.73868,0.38355,1.66687,1.19771,1.60974,0.000695479,0.000695479,0.000695479
84,1344.16,1.56876,1.31018,1.30429,0.71032,0.75,0.7766,0.34489,1.73191,1.24241,1.59669,0.000673721,0.000673721,0.000673721
85,1361.26,1.53633,1.25661,1.36283,0.7379,0.85714,0.79943,0.36214,1.70705,1.18565,1.55832,0.000652136,0.000652136,0.000652136
86,1379.36,1.54811,1.33852,1.34399,0.75017,0.75068,0.85028,0.41047,1.626,1.18242,1.49992,0.000630733,0.000630733,0.000630733
87,1396.79,1.6343,1.33571,1.36355,0.67718,0.67857,0.71988,0.34484,1.65178,1.31067,1.49883,0.000609525,0.000609525,0.000609525
88,1412.99,1.53669,1.33769,1.32364,0.69963,0.74873,0.74922,0.34852,1.67552,1.26964,1.51861,0.000588522,0.000588522,0.000588522
89,1429.17,1.47219,1.20576,1.33004,0.75891,0.787,0.83877,0.39012,1.70501,1.08273,1.56825,0.000567736,0.000567736,0.000567736
90,1446.07,1.56452,1.26854,1.37207,0.79062,0.80943,0.86787,0.42529,1.69456,1.05892,1.5454,0.000547177,0.000547177,0.000547177
91,1466.7,1.62669,1.26027,1.4475,0.82104,0.78571,0.84699,0.3996,1.68178,1.08582,1.59804,0.000526856,0.000526856,0.000526856
92,1485.21,1.46016,1.2122,1.32661,0.74744,0.74012,0.74324,0.3375,1.70419,1.22596,1.56456,0.000506784,0.000506784,0.000506784
93,1502.32,1.57975,1.35776,1.31769,0.71354,0.71178,0.72802,0.32875,1.69523,1.21563,1.59648,0.000486971,0.000486971,0.000486971
94,1519.22,1.51503,1.30512,1.30301,0.71116,0.75,0.76883,0.35118,1.66743,1.20163,1.60633,0.000467428,0.000467428,0.000467428
95,1535.94,1.51004,1.19081,1.33353,0.67737,0.71429,0.76694,0.33942,1.67809,1.23645,1.55536,0.000448165,0.000448165,0.000448165
96,1553.17,1.48217,1.18741,1.3044,0.92028,0.67857,0.83375,0.36623,1.66807,1.2088,1.5519,0.000429192,0.000429192,0.000429192
97,1570.14,1.47364,1.21357,1.32023,0.7746,0.78571,0.85108,0.42023,1.64382,1.08711,1.55097,0.00041052,0.00041052,0.00041052
98,1586.95,1.50964,1.15095,1.32565,0.79118,0.67664,0.80783,0.37246,1.65414,1.1748,1.5302,0.000392158,0.000392158,0.000392158
99,1603.76,1.4846,1.18004,1.30995,0.65699,0.82087,0.80199,0.34604,1.68976,1.17944,1.58199,0.000374115,0.000374115,0.000374115
100,1620.58,1.45946,1.14628,1.31326,0.68008,0.75941,0.80531,0.36681,1.67949,1.1646,1.60959,0.000356401,0.000356401,0.000356401
101,1637.51,1.51017,1.20096,1.33763,0.75565,0.78571,0.81526,0.38582,1.6935,1.07163,1.61547,0.000339026,0.000339026,0.000339026
102,1654.36,1.46566,1.177,1.32742,0.74914,0.85714,0.82116,0.37529,1.72798,1.0888,1.61842,0.000321999,0.000321999,0.000321999
103,1670.9,1.42524,1.13755,1.29759,0.70363,0.75,0.79314,0.40382,1.62893,1.04823,1.58363,0.000305328,0.000305328,0.000305328
104,1687.6,1.40368,1.11846,1.30661,0.69331,0.82143,0.81961,0.40727,1.60374,1.07779,1.59696,0.000289022,0.000289022,0.000289022
105,1704.45,1.48844,1.24024,1.3296,0.64277,0.83564,0.77385,0.34851,1.63599,1.21567,1.61038,0.000273091,0.000273091,0.000273091
106,1721.02,1.38846,1.08524,1.27201,0.63294,0.73923,0.77362,0.34655,1.67783,1.24315,1.60185,0.000257541,0.000257541,0.000257541
107,1738.06,1.40252,1.15555,1.2777,0.705,0.85714,0.82655,0.36781,1.70857,1.13859,1.63591,0.000242382,0.000242382,0.000242382
108,1754.6,1.42104,1.0479,1.29197,0.71476,0.80571,0.83598,0.38347,1.70962,1.11073,1.63721,0.000227622,0.000227622,0.000227622
109,1771.35,1.49537,1.21829,1.28934,0.69444,0.82143,0.81648,0.38183,1.68332,1.18262,1.58344,0.000213267,0.000213267,0.000213267
110,1788.45,1.50664,1.17499,1.28359,0.75116,0.78571,0.84471,0.36676,1.71424,1.07125,1.6363,0.000199327,0.000199327,0.000199327
111,1805.06,1.43366,1.16497,1.2517,0.76174,0.79958,0.85287,0.37761,1.72813,1.04333,1.69092,0.000185807,0.000185807,0.000185807
112,1822.21,1.48817,1.13649,1.26436,0.81601,0.82143,0.85425,0.37508,1.73999,1.14283,1.63577,0.000172716,0.000172716,0.000172716
113,1838.69,1.47626,1.15729,1.33728,0.7896,0.80448,0.83226,0.34253,1.70381,1.20931,1.59646,0.000160059,0.000160059,0.000160059
114,1855.1,1.43602,1.08882,1.26626,0.76911,0.75,0.82928,0.37286,1.7018,1.13486,1.60287,0.000147845,0.000147845,0.000147845
115,1871.72,1.35543,1.14873,1.24808,0.75577,0.82143,0.83747,0.39534,1.68271,1.05435,1.60401,0.000136078,0.000136078,0.000136078
116,1888.63,1.42084,1.15509,1.28338,0.70323,0.82143,0.81445,0.39988,1.71783,1.04526,1.65707,0.000124766,0.000124766,0.000124766
117,1906.14,1.40216,1.13695,1.2519,0.69251,0.8046,0.79868,0.39222,1.70705,1.08046,1.64728,0.000113914,0.000113914,0.000113914
118,1922.78,1.38126,1.04785,1.24494,0.70521,0.78571,0.7843,0.37269,1.71871,1.13723,1.64288,0.000103528,0.000103528,0.000103528
119,1939.73,1.32759,1.04765,1.21778,0.73694,0.78571,0.80713,0.37092,1.6881,1.1626,1.60632,9.36139e-05,9.36139e-05,9.36139e-05
120,1959.4,1.3647,1.04366,1.24058,0.77356,0.78571,0.81639,0.37722,1.70247,1.13464,1.61199,8.4176e-05,8.4176e-05,8.4176e-05
121,1976.98,1.3737,1.05757,1.2522,0.74292,0.71429,0.8282,0.40253,1.70536,1.0858,1.61934,7.52198e-05,7.52198e-05,7.52198e-05
122,1993.86,1.36068,1.09351,1.28379,0.77601,0.75,0.82915,0.40779,1.70403,1.0643,1.63396,6.675e-05,6.675e-05,6.675e-05
123,2010.36,1.41086,1.09446,1.25317,0.80782,0.71429,0.83745,0.40866,1.69584,1.05349,1.63084,5.87708e-05,5.87708e-05,5.87708e-05
124,2026.65,1.35013,1.02426,1.24476,0.81762,0.71429,0.84341,0.41048,1.69525,1.04927,1.63193,5.12867e-05,5.12867e-05,5.12867e-05
125,2042.99,1.40081,1.07232,1.27875,0.75363,0.76504,0.83693,0.41077,1.69426,1.04933,1.62965,4.43015e-05,4.43015e-05,4.43015e-05
126,2060.02,1.39988,1.08729,1.24712,0.73669,0.79965,0.84087,0.40644,1.6968,1.06717,1.62435,3.78188e-05,3.78188e-05,3.78188e-05
127,2077.15,1.28399,0.98943,1.21235,0.7655,0.81627,0.83465,0.40349,1.69524,1.07657,1.63674,3.18422e-05,3.18422e-05,3.18422e-05
128,2096.43,1.3386,0.99259,1.30431,0.82494,0.71429,0.7638,0.3552,1.78229,1.12683,1.72317,2.63747e-05,2.63747e-05,2.63747e-05
129,2113.63,1.33185,0.98442,1.26585,0.81244,0.71429,0.75405,0.34242,1.79042,1.14339,1.7316,2.14192e-05,2.14192e-05,2.14192e-05
130,2133.56,1.21867,0.90879,1.20921,0.83311,0.71318,0.79571,0.35639,1.81051,1.13721,1.74766,1.69783e-05,1.69783e-05,1.69783e-05
131,2150.49,1.32799,1.00452,1.24933,0.83174,0.70641,0.78088,0.35689,1.81333,1.13687,1.75269,1.30543e-05,1.30543e-05,1.30543e-05
132,2166.69,1.28792,0.91963,1.2106,0.83302,0.71273,0.79039,0.35974,1.80178,1.13528,1.73565,9.64936e-06,9.64936e-06,9.64936e-06
133,2183.02,1.26172,0.96317,1.2092,0.82928,0.69431,0.79194,0.35817,1.80963,1.15031,1.73636,6.76522e-06,6.76522e-06,6.76522e-06
134,2199.43,1.24834,0.93375,1.18378,0.81011,0.67857,0.78753,0.35232,1.80868,1.14345,1.73935,4.4034e-06,4.4034e-06,4.4034e-06
135,2217.24,1.26534,0.95652,1.22431,0.79706,0.67857,0.79449,0.36151,1.79417,1.1305,1.72421,2.56514e-06,2.56514e-06,2.56514e-06
136,2233.59,1.25293,0.92708,1.23298,0.79257,0.68246,0.7794,0.35266,1.79776,1.14045,1.72888,1.2514e-06,1.2514e-06,1.2514e-06
137,2250.83,1.23663,0.98077,1.19918,0.79236,0.68155,0.78237,0.36103,1.79329,1.12492,1.72132,4.62885e-07,4.62885e-07,4.62885e-07
