epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17476.3,1.08409,0.86129,1.46215,0.87837,0.90606,0.92779,0.67701,1.15178,0.75798,1.58307,0.00974301,0.00974301,0.00974301
43,17849.4,1.04086,0.83291,1.41688,0.88766,0.89886,0.92097,0.67753,1.17844,0.76289,1.59859,0.00973044,0.00973044,0.00973044
44,18160.7,1.05913,0.85855,1.4301,0.87719,0.90031,0.92457,0.68667,1.15656,0.74598,1.58435,0.00971757,0.00971757,0.00971757
45,18477.6,1.05668,0.85918,1.43992,0.90481,0.88842,0.93459,0.69063,1.14239,0.728,1.56617,0.00970442,0.00970442,0.00970442
46,18794.2,1.05215,0.84453,1.41459,0.88286,0.88828,0.91877,0.67824,1.16698,0.7721,1.61752,0.00969097,0.00969097,0.00969097
47,19107.2,1.04762,0.82311,1.4047,0.87558,0.88483,0.91951,0.66975,1.17173,0.76599,1.57861,0.00967724,0.00967724,0.00967724
48,19420.4,1.03973,0.81497,1.40874,0.89873,0.8907,0.9316,0.68913,1.16442,0.71453,1.58828,0.00966321,0.00966321,0.00966321
49,19727.2,1.04828,0.81879,1.41608,0.8984,0.87344,0.93208,0.69116,1.14184,0.7188,1.55632,0.0096489,0.0096489,0.0096489
50,20000.3,1.03391,0.8123,1.40533,0.91078,0.88635,0.93405,0.69106,1.16403,0.69927,1.57515,0.0096343,0.0096343,0.0096343
51,20322.5,1.0321,0.80203,1.40502,0.88566,0.89693,0.9358,0.69825,1.14012,0.69799,1.56893,0.00961942,0.00961942,0.00961942
52,20897,1.03145,0.80476,1.40359,0.89582,0.90449,0.92381,0.68444,1.16819,0.70932,1.58796,0.00960425,0.00960425,0.00960425
53,21247.5,1.02715,0.77409,1.39567,0.89707,0.89664,0.93979,0.69254,1.15325,0.69284,1.56043,0.00958879,0.00958879,0.00958879
54,22072.2,1.01726,0.79608,1.40016,0.89738,0.89339,0.92874,0.69011,1.14214,0.72756,1.55263,0.00957306,0.00957306,0.00957306
55,22348.1,1.0251,0.79944,1.39428,0.88764,0.89551,0.93029,0.6928,1.13538,0.72372,1.54854,0.00955704,0.00955704,0.00955704
56,22661.1,1.00328,0.78727,1.38679,0.91784,0.88246,0.93468,0.69593,1.13742,0.70627,1.5624,0.00954074,0.00954074,0.00954074
57,23336.3,1.02505,0.77705,1.3982,0.89657,0.91247,0.93073,0.69686,1.12563,0.69172,1.54196,0.00952416,0.00952416,0.00952416
58,23608.6,0.98926,0.75975,1.37824,0.91777,0.90913,0.95016,0.69768,1.15885,0.65207,1.57158,0.0095073,0.0095073,0.0095073
59,23959.7,1.00723,0.77331,1.38936,0.90961,0.91149,0.94415,0.69958,1.14068,0.6739,1.56792,0.00949016,0.00949016,0.00949016
60,24533.2,1.0002,0.77983,1.38615,0.90031,0.90953,0.93455,0.68948,1.17268,0.67767,1.59165,0.00947275,0.00947275,0.00947275
61,25240.9,0.97856,0.75661,1.36753,0.90697,0.91271,0.94653,0.70986,1.13101,0.67736,1.5529,0.00945506,0.00945506,0.00945506
62,25562.1,1.00122,0.75706,1.37889,0.89421,0.895,0.93677,0.69895,1.15816,0.65053,1.563,0.0094371,0.0094371,0.0094371
63,25867.4,0.99401,0.75865,1.38125,0.89599,0.87957,0.92059,0.68714,1.1459,0.70473,1.55098,0.00941886,0.00941886,0.00941886
64,26282.1,0.9835,0.76491,1.3715,0.91045,0.90266,0.93206,0.69582,1.13361,0.6774,1.57182,0.00940035,0.00940035,0.00940035
65,26662.6,0.99203,0.76002,1.37297,0.90118,0.90741,0.9441,0.70434,1.13214,0.68439,1.55456,0.00938156,0.00938156,0.00938156
66,26939.2,1.01044,0.77357,1.38837,0.89586,0.89189,0.94108,0.704,1.12659,0.6749,1.54995,0.00936251,0.00936251,0.00936251
67,27331.3,0.98271,0.75991,1.37734,0.92918,0.90835,0.94532,0.70718,1.13329,0.63787,1.54778,0.00934319,0.00934319,0.00934319
68,27704.8,0.98498,0.73024,1.3563,0.91237,0.90295,0.93836,0.69943,1.13391,0.68601,1.54917,0.0093236,0.0093236,0.0093236
69,28364.1,0.98704,0.75174,1.35779,0.91268,0.899,0.93918,0.69927,1.13087,0.66876,1.57883,0.00930374,0.00930374,0.00930374
70,29064.1,0.98243,0.74528,1.3694,0.88553,0.89893,0.92885,0.69869,1.13964,0.68231,1.57286,0.00928362,0.00928362,0.00928362
71,29638.5,0.94776,0.7061,1.33096,0.91452,0.89954,0.93486,0.7006,1.13667,0.66677,1.54916,0.00926324,0.00926324,0.00926324
72,30150,0.97398,0.72797,1.34906,0.90977,0.89374,0.9413,0.70648,1.1348,0.66561,1.5654,0.00924259,0.00924259,0.00924259
73,30567.8,0.98943,0.73716,1.37186,0.88721,0.89229,0.92303,0.69185,1.1277,0.69111,1.56116,0.00922168,0.00922168,0.00922168
74,30850.4,0.98954,0.73347,1.36131,0.9236,0.90842,0.94918,0.70255,1.13107,0.64795,1.56793,0.00920051,0.00920051,0.00920051
75,31561.1,0.94916,0.69098,1.33432,0.90337,0.90989,0.93185,0.7033,1.15522,0.63341,1.57323,0.00917908,0.00917908,0.00917908
